Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54312,5012,2.48818e-05,0.990368,2.864e-05,0.19737,0.235845,0.4,5.2,12.4,79.3,200.3,100,2642959719
54314,4916,2.57864e-05,0.990388,2.91771e-05,0.230437,0.230495,0.6,5.3,11.9,77.3,202.9,100,2642959719
54316,4931,2.57773e-05,0.990496,2.92114e-05,0.189114,0.210073,0.1,5.2,12.9,78.7,200.2,100,2642959719
54318,4990,2.59189e-05,0.99051,2.84114e-05,0.154065,0.221398,0.1,4.0,12.1,76.7,203.0,100,2642959719
54320,4953,2.55785e-05,0.990589,2.82743e-05,0.210023,0.255664,0.3,5.2,10.8,77.2,203.9,100,2642959719
54322,4992,2.56219e-05,0.990618,2.86857e-05,0.234851,0.238671,0.1,3.2,13.0,75.0,207.0,100,2642959719
54324,4945,2.62684e-05,0.990615,2.768e-05,0.263373,0.259683,0.3,4.4,11.2,77.4,191.3,100,2642959719
54326,4966,2.57384e-05,0.9906,2.85029e-05,0.130819,0.2409,0.2,3.8,11.6,76.5,204.1,100,2642959719
54328,4931,2.55671e-05,0.990601,2.89486e-05,0.151285,0.238064,0.1,4.2,12.6,73.5,205.7,100,2642959719
54330,4926,2.56973e-05,0.990533,2.97143e-05,0.310605,0.227214,0.3,5.5,12.5,76.8,200.7,100,2642959719
54332,4950,2.60194e-05,0.990638,2.95086e-05,0.304669,0.228353,0.7,5.6,13.1,79.6,202.0,100,2642959719
54334,5035,2.56813e-05,0.990616,2.83429e-05,0.264387,0.243558,0.3,3.3,11.3,77.9,201.9,100,2642959719
54336,4964,2.63073e-05,0.990687,2.79771e-05,0.149665,0.268731,0.0,4.2,12.6,73.5,202.1,100,2642959719
54338,4966,2.64398e-05,0.990663,2.92571e-05,0.209486,0.21988,0.4,5.5,11.7,77.6,206.1,100,2642959719
54340,4964,2.55557e-05,0.990725,2.91429e-05,0.194872,0.238647,0.2,4.7,12.2,79.6,209.1,100,2642959719
54342,4946,2.51673e-05,0.990679,2.88343e-05,0.282421,0.220142,0.5,4.5,12.3,76.3,209.5,100,2642959719
54344,4997,2.55237e-05,0.990606,2.85943e-05,0.306752,0.237989,0.4,5.7,12.1,80.0,204.1,100,2642959719
54346,5012,2.46762e-05,0.990606,2.81371e-05,0.16431,0.240128,0.0,4.3,11.1,74.9,205.1,100,2642959719
54348,4944,2.49389e-05,0.990527,2.85486e-05,0.144616,0.238317,0.0,4.4,12.2,75.9,210.3,100,2642959719
54350,4937,2.52747e-05,0.990449,2.93829e-05,0.407438,0.211365,0.4,5.1,10.3,75.9,210.7,100,2642959719
54352,4936,2.65654e-05,0.990508,2.91657e-05,0.145402,0.231552,0.1,3.8,12.1,78.2,201.4,100,2642959719
